Name,Rating,Title,Text,Date
Anonymous,3.9,Wonderful,"Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.",
Anonymous,,Just wow!,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,
Anonymous,,Very Good,I'm satisfied.,
Anonymous,,Really Nice,"Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review",
Anonymous,,Must buy!,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,
Anonymous,,Wonderful,"Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good",
Anonymous,,Great product,"Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome",
Anonymous,,Worth every penny,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,
Anonymous,,Great product,I can't believe. It's super cooler,
Anonymous,,Fabulous!,"Value for money
I am satisfied this cooler",
Anonymous,3.9,Bad quality,Water Leakage was observed from 2nd day onwards..... Cooling is sufficient but proper ventilation is requires to get cooling.... Recommended to go for another product... Thats all....,
Anonymous,,Very Good,Good quality,
Anonymous,,Terrific,Overall good product. Low noise. Enough cooling.,
Anonymous,,Nice product,"Our room is exactly 10x10 and we are two people. The room is well ventilated, so in this room, for 2 people, even for 3 people this cooler is enough. A stand to elevate its height can be better for cooler but we don't have, so we simply put the vents in the upward direction and it throws air to both of us. Air throw is definitely 9ft if not more. The water inlet is pretty wide and we use one full bucket water to fill directly and it doesn't pour out. U can even add ice into it. Separate ice chamber not there. Wheels are good. Cable is short -this issue is true with every cooler I guess. Water indicator level is good. Consumption is more I guess. 45litre is enough for 8hrs and then half and hour in afternoon but not more than that.

If u have keep it beside ur bed or workstation, and room is well ventilated...go for this. This cooler is very good for 2 3people sleeping on one bed or working in a room or even kitchen.",
Anonymous,,Awesome,Nice cooler,
Anonymous,,Highly recommended,It so good for small room or a double bed... Compact size...Cool look..Low power working good with inverter also,
Anonymous,,Worth every penny,Work like charm...must buy product in this price range..much better then all cooler like Bajaj 36 litre in this price range...if it's fitted in window cools more then air condition...motor is powerful..mustbuy product,
Anonymous,,Just wow!,Very gd product.worth of money.,
Anonymous,,Fair,"According to price the cooler is justified. I will say not that great but good.
Few observations
1 - cooler was licking.
2- it is smelling really bad while using.
3- it’s noise level is high compare to speed.
4- air throw is max till 3 feet.

Overall it is okay with price.. can be used for small room and single person.",
Anonymous,,Must buy!,Best 👌👌👌👌,
Anonymous,3.9,Delightful,For one room is best,
Anonymous,,Fabulous!,"Very sturdy, simple and good quality air cooler. Good cooling effect. Recommend 100%. Only issue for me is the fan speed which is very high even in the lowest position. This makes breezy noise . More lower speeds knob options would make it the best room cooler.",
Anonymous,,Worth the money,Fan cooling Ness is ok..but I couldn't find any icecubes inserting option,
Anonymous,,Wonderful,Hindware cooler very nice cooling 👌👍 ...performance very nice 👌very good product to Flipkart.....l am very happy 😊 thanks to Flipkart......,
Anonymous,,Great product,The product is awesome.. First you have to understand the difference between the air cooler and air conditioner. It cools my medium size room perfectly within 1 hour. Every cooler has a little noise like celling fan at high speed.. & you have to open the door or windows for cross ventilation so that it can work properly. The size is compact. Air flow is very good. I just love it & thanks Flipkart for door step Delevary on time..,
Anonymous,,Best in the market!,Super good for room when window is open,
Anonymous,,Good quality product,"Cooling effect is good no doubt only when the surrounding wind flow is good too. But product material is not strong, need to be very careful while moving on floor and opening the windows to clean tank. Should be handel carefully. Price wise good for bachelor's nd couples staying in compact flat. While running not too much noisy but air flow is good till 7ft and covers good amount of area. But not sure if it can help to cool on peak summer like April May June, that will be challenging.",
Anonymous,,Classy product,"Great looking product at this price point.
Great for bedroom and give cooling for complete day.
Flaps can be closed completely and blades are rotating
Quality of product is nice !",
Anonymous,,Perfect product!,"First I thank to flip kart and seller. They packed very and without any damaged as reach well at my home. Next I filled normal water and start a cooler. After I felt 25% air flow my room. Next day I add normal water and cold water .now It flew very well cooling effect. So I satisfied and recommend to others... Thanks to seller, delivery person and flip kart..",
Anonymous,,Just okay,Small size at this price. Value price 5000-5500 may be,
Anonymous,3.9,Great product,"Good cooler, works fine and looks good. Water tank capacity is quite sufficient. Good air throw. Swing option works well. To get good air breeze, ventilation is must - which is common for all coolers. Power consumption is only 105W, which is a plus point. Overall good selection.",
Anonymous,,Worth the money,"Before buying this i saw many reviews about water leakage.. But i must tell you,there is very minimal leakage... If u r ordering this for ur personal room in hostel,or you leaving outside home,then it's totally fine... Even if u buy this for home,i don't think so that,the leakage prblm affect that much.. so i suggest you to go for it ...",
Anonymous,,Best in the market!,"Just koolin-awesome... Perfect for small n medium rooms. Just put a big ice cube in the water from back panel and wallah feel the snowcrest like cool effect. But needed good ventilation of windows and doors or else humidity wil stick like salt on your skin. Minor side water leakage can be solved by pushing the upper side of honey comb slightly inside. Stand with wheels could have been a best option instead. Loved the product, the design, the plastic body, the air flow and the reasonable price.",
Anonymous,,Classy product,"Excellent product with superb built-in quality for the price range with a decent cooling, can’t expect more from this segment of product",
Anonymous,,Awesome,Good one..,
Anonymous,,Brilliant,Nice Cooler suitable for small & medium size room for 3-4 persons. Cooler looks premium and weightless you can easily move. Air flow is average and cooling system is good. If you have small and medium size room this cooler is enough don't buy big size coolers(that takes more place and difficult to move). Inside it is having fan not blower that is one advantage fan always give good air flow compare to blower.At this price range this is the best cooler for medium size room for 3-4 persons.,
Anonymous,,Super!,"Adding review after 2 days of use, cooler is awesome in this price range, it has good air flow even cooling is good enough although summer hasn't come at it's verge, yet getting feeling that this cooler will prove itself a saviour from extreme summer heat...",
Anonymous,,Terrific,"Good for now, Will update in summer. Cooler potential can only be judged during intense summer.",
Anonymous,,Worth the money,It's actually not as expected sized cooler but after using it an Whole day tis cooler noise level is so down n is cooling the room with 5 people so good so don't go with size the quality and the power of this cooler is 4star rated in this price range ....❤️loved it #HINDWARE grate choice,
Anonymous,,Mind-blowing purchase,"Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.",
Anonymous,3.9,Brilliant,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,
Anonymous,,Slightly disappointed,leakage in water,
Anonymous,,Value-for-money,"Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.",
Anonymous,,Really Nice,"4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.",
Anonymous,,Worth the money,"First week:
Enough sturdy, good fan and cooling capacity for small to medium sized rooms. Not for halls or large rooms. It says 45 litres but I think it's lesser thought of rating a star less for this but didn't do it as it serves the purpose.
Second week:
Leakage problem starts
No option to remove, replace, clean or adjust sides as the option to do so is not available, only rear side is detachable. Final verdict not recommended because of undetachable sides. A good product with major defect.
Third week:
Water leakage stopped automatically, but one drawback with is side pads are not detachable.",
Anonymous,,Must buy!,Nice one for medium type rooms cools effectively. Thanks to delivery boy as he delivered the product to 3rd floor.,
Anonymous,,Best in the market!,"It cools very fastly ,best cooler at this price and daily fill fresh water for best cooling results, when not in use cover up the air cooler with its card board or rut box or wrap some old clothes otherwise mosquitos will make its nest",
Anonymous,,Classy product,For small room it's really good,
Anonymous,,Good choice,is good product,
Anonymous,,Terrific,Received my product just one hour ago. It's looking so cool & I am very excited to use it because its my first ever cooler purchase..I wanna say that its the best cooler under 6k. Thanks Flipkart..!!,
Anonymous,3.9,Worth every penny,"The hindware cooler was awesome and nice cooling for personal and bedroom use but the size were too small..
Company or seller should give at least 1 stand for this cooler for more increase in height.......because when we put this on ground level it shoud give air half of the bed at half upper side and half bottom side due to small in size....
Soo it needs more height......",
Anonymous,,Nice product,"Hindware 45 L cooler is good and working well as of now.
got this cooler within a day of booking. cooling is good and cools 160 Sq FT area easily in 15 mins.. good for medium size room...
button knob should have markings or indicator for function selection and speed selection..
ice chamber should have been provided...
I m mostly using on speed 1 and still provides good air throw.. on high speed noise level also increases..
overall plastic quality is good.
hoping it would last long and less repair and maintenance is required..
satisfied with the product..",
Anonymous,,Value-for-money,Side windows not level,
Anonymous,,Nice,"Product is ok for couples or for three persons
it is good for small rooms i am writing this reveiw after 5 days,
one thing i want to mention is, its started making unusual sounds from inside within a week of purchase. i have called customer care exe they are replacing its motor.",
Anonymous,,Fabulous!,It's Good Product,
Anonymous,,Highly recommended,Super super,
Anonymous,,Wonderful,"For Overall build quality and material used - 1 Star
For Properly Water Distribution Design to spray over every honey comb equally used - 1 Star
For Maximum Tank which is of 45 Ltr water storage capacity when compared to other brands products have the same price range used - 1 Star
For Energy Efficient which is Power Consumption of - 105 W - 1 star
For compact size- 1 star.

Few Cons- Higher price of 6000. price should have lower to 5k. Bought it @5400 using credit card offer and even in low speed air throw/fan speed is high.
Overall it is okay in this price range.. can be used for small room and single person.",
Anonymous,,Good choice,"Cooler buit 3.5/5
Fan speed 5/5
3 Colling vent 4/5
Fan Noise 3/5
Wheels 4/5
Water capacity is 55 L 5/5
Cooling 3.7/5

Overall experience is good you can go for it",
Anonymous,,Not recommended at all,"Water leak ,worst quality",
Anonymous,,Value-for-money,Good Product,
Anonymous,3.9,Good choice,Very good cooler,
Anonymous,,Nice product,"Overall a good product, good cooling, sufficient water for overnight, more than enough.

Cons:
- Noise
- random water spilling (can be fixed by adjusting the cartons - honeybee)
- lack of mosquito net (it would have reduced water spillage)",
Anonymous,,Wonderful,Product is good enough for two people and for a small rooms ..air throw is not much good..but in this summer it's helps a lot 🙂,
Anonymous,,Mind-blowing purchase,Excellent cooling but there is leakage 9f water which spiils on the floor. I got first one replacement but the new one also has leakage between the pad and tub.....but when it starts working it's awesome.,
Anonymous,,Pretty good,Nice Product value for money.,
Anonymous,,Good quality product,"Product is good but some water likeg from side,,, and meterial quality is normal not a hard flastic",
