rating,text,text_en,lang,cleaned,tokens
3.9,"Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.","Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.",en,perfect summer companion product quality good nice look accomplished amazingly powerful fan shutter serving purpose well smooth knob water level indicator swing system,"['perfect', 'summer', 'companion', 'product', 'quality', 'good', 'nice', 'look', 'accomplished', 'amazingly', 'powerful', 'fan', 'shutter', 'serving', 'purpose', 'well', 'smooth', 'knob', 'water', 'level', 'indicator', 'swing', 'system']"
,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,en,honest review using cooler one year live top floor building rangia assam room size foot hot night may june use litre cool fridge water ice cube normal water towards late night need take blanket switch proper ventilation maintained consumes low electricity also inverter friendly without hesitation,"['honest', 'review', 'using', 'cooler', 'one', 'year', 'live', 'top', 'floor', 'building', 'rangia', 'assam', 'room', 'size', 'foot', 'hot', 'night', 'may', 'june', 'use', 'litre', 'cool', 'fridge', 'water', 'ice', 'cube', 'normal', 'water', 'towards', 'late', 'night', 'need', 'take', 'blanket', 'switch', 'proper', 'ventilation', 'maintained', 'consumes', 'low', 'electricity', 'also', 'inverter', 'friendly', 'without', 'hesitation']"
,I'm satisfied.,I'm satisfied.,da,satisfied,['satisfied']
,"Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review","Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review",en,received proper condition build quality great working fine know work summer use time edit review,"['received', 'proper', 'condition', 'build', 'quality', 'great', 'working', 'fine', 'know', 'work', 'summer', 'use', 'time', 'edit', 'review']"
,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,en,nice product firstly hesitate buy bcz cooler water leakage problem anyone side pad experienced buying one honestly writing review usage 10days problem yet cooler make sound less one compared brand get hesitate,"['nice', 'product', 'firstly', 'hesitate', 'buy', 'bcz', 'cooler', 'water', 'leakage', 'problem', 'anyone', 'side', 'pad', 'experienced', 'buying', 'one', 'honestly', 'writing', 'review', 'usage', '10days', 'problem', 'yet', 'cooler', 'make', 'sound', 'less', 'one', 'compared', 'brand', 'get', 'hesitate']"
,"Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good","Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good",en,cooler awesome airflow amazing power consumption also low inverter take load easily sometimes water leak side much overall good,"['cooler', 'awesome', 'airflow', 'amazing', 'power', 'consumption', 'also', 'low', 'inverter', 'take', 'load', 'easily', 'sometimes', 'water', 'leak', 'side', 'much', 'overall', 'good']"
,"Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome","Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome",en,wow super excited product thank hindware awesome,"['wow', 'super', 'excited', 'product', 'thank', 'hindware', 'awesome']"
,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,en,super cooler small family good cool water consumption lts per day humidity,"['super', 'cooler', 'small', 'family', 'good', 'cool', 'water', 'consumption', 'lts', 'per', 'day', 'humidity']"
,I can't believe. It's super cooler,I can't believe. It's super cooler,en,believe super cooler,"['believe', 'super', 'cooler']"
,"Value for money
I am satisfied this cooler","Value for money
I am satisfied this cooler",en,value money satisfied cooler,"['value', 'money', 'satisfied', 'cooler']"
