rating,text,text_en,lang,cleaned,tokens,pos_tags,entities,vader,tb,lex_sent,lstm_sent
3,"Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.","Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.",en,perfect summer companion product quality good nice look accomplished amazingly powerful fan shutter serving purpose well smooth knob water level indicator swing system,"['perfect', 'summer', 'companion', 'product', 'quality', 'good', 'nice', 'look', 'accomplished', 'amazingly', 'powerful', 'fan', 'shutter', 'serving', 'purpose', 'well', 'smooth', 'knob', 'water', 'level', 'indicator', 'swing', 'system']","[('perfect', 'JJ'), ('summer', 'NN'), ('companion', 'NN'), ('product', 'NN'), ('quality', 'NN'), ('good', 'JJ'), ('nice', 'JJ'), ('look', 'NN'), ('accomplished', 'VBD'), ('amazingly', 'RB'), ('powerful', 'JJ'), ('fan', 'NN'), ('shutter', 'NN'), ('serving', 'VBG'), ('purpose', 'RB'), ('well', 'RB'), ('smooth', 'JJ'), ('knob', 'NNS'), ('water', 'NN'), ('level', 'NN'), ('indicator', 'NN'), ('swing', 'NN'), ('system', 'NN')]","['FEATURE:fan', 'FEATURE:water', 'FEATURE:power']",0.9398,0.5,0.7199,0.44372305274009705
3,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,en,honest review using cooler one year live top floor building rangia assam room size foot hot night may june use litre cool fridge water ice cube normal water towards late night need take blanket switch proper ventilation maintained consumes low electricity also inverter friendly without hesitation,"['honest', 'review', 'using', 'cooler', 'one', 'year', 'live', 'top', 'floor', 'building', 'rangia', 'assam', 'room', 'size', 'foot', 'hot', 'night', 'may', 'june', 'use', 'litre', 'cool', 'fridge', 'water', 'ice', 'cube', 'normal', 'water', 'towards', 'late', 'night', 'need', 'take', 'blanket', 'switch', 'proper', 'ventilation', 'maintained', 'consumes', 'low', 'electricity', 'also', 'inverter', 'friendly', 'without', 'hesitation']","[('honest', 'JJS'), ('review', 'NN'), ('using', 'VBG'), ('cooler', 'NN'), ('one', 'CD'), ('year', 'NN'), ('live', 'JJ'), ('top', 'JJ'), ('floor', 'NN'), ('building', 'NN'), ('rangia', 'NN'), ('assam', 'NN'), ('room', 'NN'), ('size', 'NN'), ('foot', 'NN'), ('hot', 'JJ'), ('night', 'NN'), ('may', 'MD'), ('june', 'VB'), ('use', 'NN'), ('litre', 'JJ'), ('cool', 'NN'), ('fridge', 'NN'), ('water', 'NN'), ('ice', 'NN'), ('cube', 'NN'), ('normal', 'JJ'), ('water', 'NN'), ('towards', 'NNS'), ('late', 'JJ'), ('night', 'NN'), ('need', 'VBP'), ('take', 'VB'), ('blanket', 'NN'), ('switch', 'VB'), ('proper', 'JJ'), ('ventilation', 'NN'), ('maintained', 'VBD'), ('consumes', 'NNS'), ('low', 'JJ'), ('electricity', 'NN'), ('also', 'RB'), ('inverter', 'RB'), ('friendly', 'RB'), ('without', 'IN'), ('hesitation', 'NN')]","['FEATURE:water', 'FEATURE:inverter']",0.8524,0.20613636363636365,0.5292681818181818,0.4440482556819916
3,I'm satisfied.,I'm satisfied.,da,satisfied,['satisfied'],"[('satisfied', 'JJ')]",[],0.4215,0.5,0.46075,0.4436340928077698
3,"Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review","Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review",en,received proper condition build quality great working fine know work summer use time edit review,"['received', 'proper', 'condition', 'build', 'quality', 'great', 'working', 'fine', 'know', 'work', 'summer', 'use', 'time', 'edit', 'review']","[('received', 'VBN'), ('proper', 'JJ'), ('condition', 'NN'), ('build', 'VBP'), ('quality', 'NN'), ('great', 'JJ'), ('working', 'JJ'), ('fine', 'NN'), ('know', 'VBP'), ('work', 'NN'), ('summer', 'NN'), ('use', 'NN'), ('time', 'NN'), ('edit', 'NN'), ('review', 'NN')]",[],0.2648,0.4291666666666667,0.3469833333333333,0.44403329491615295
3,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,en,nice product firstly hesitate buy bcz cooler water leakage problem anyone side pad experienced buying one honestly writing review usage 10days problem yet cooler make sound less one compared brand get hesitate,"['nice', 'product', 'firstly', 'hesitate', 'buy', 'bcz', 'cooler', 'water', 'leakage', 'problem', 'anyone', 'side', 'pad', 'experienced', 'buying', 'one', 'honestly', 'writing', 'review', 'usage', '10days', 'problem', 'yet', 'cooler', 'make', 'sound', 'less', 'one', 'compared', 'brand', 'get', 'hesitate']","[('nice', 'JJ'), ('product', 'NN'), ('firstly', 'RB'), ('hesitate', 'JJ'), ('buy', 'NN'), ('bcz', 'IN'), ('cooler', 'NN'), ('water', 'NN'), ('leakage', 'NN'), ('problem', 'NN'), ('anyone', 'NN'), ('side', 'NN'), ('pad', 'NN'), ('experienced', 'VBD'), ('buying', 'VBG'), ('one', 'CD'), ('honestly', 'RB'), ('writing', 'VBG'), ('review', 'NN'), ('usage', 'NN'), ('10days', 'CD'), ('problem', 'NN'), ('yet', 'RB'), ('cooler', 'JJ'), ('make', 'VBP'), ('sound', 'JJ'), ('less', 'JJR'), ('one', 'CD'), ('compared', 'VBN'), ('brand', 'NN'), ('get', 'NN'), ('hesitate', 'NN')]","['FEATURE:leak', 'FEATURE:water']",-0.6546,0.3931481481481482,-0.13072592592592588,0.44393253326416016
3,"Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good","Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good",en,cooler awesome airflow amazing power consumption also low inverter take load easily sometimes water leak side much overall good,"['cooler', 'awesome', 'airflow', 'amazing', 'power', 'consumption', 'also', 'low', 'inverter', 'take', 'load', 'easily', 'sometimes', 'water', 'leak', 'side', 'much', 'overall', 'good']","[('cooler', 'NN'), ('awesome', 'JJ'), ('airflow', 'IN'), ('amazing', 'VBG'), ('power', 'NN'), ('consumption', 'NN'), ('also', 'RB'), ('low', 'JJ'), ('inverter', 'NNS'), ('take', 'VBP'), ('load', 'NN'), ('easily', 'RB'), ('sometimes', 'RB'), ('water', 'NN'), ('leak', 'JJ'), ('side', 'NN'), ('much', 'RB'), ('overall', 'JJ'), ('good', 'JJ')]","['FEATURE:leak', 'FEATURE:water', 'FEATURE:power', 'FEATURE:inverter']",0.8381,0.45555555555555555,0.6468277777777778,0.44363054633140564
3,"Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome","Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome",en,wow super excited product thank hindware awesome,"['wow', 'super', 'excited', 'product', 'thank', 'hindware', 'awesome']","[('wow', 'JJ'), ('super', 'NN'), ('excited', 'VBD'), ('product', 'NN'), ('thank', 'NN'), ('hindware', 'NN'), ('awesome', 'JJ')]",['BRAND:Hindware'],0.9169,0.45208333333333334,0.6844916666666667,0.44450512528419495
3,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,en,super cooler small family good cool water consumption lts per day humidity,"['super', 'cooler', 'small', 'family', 'good', 'cool', 'water', 'consumption', 'lts', 'per', 'day', 'humidity']","[('super', 'JJ'), ('cooler', 'NN'), ('small', 'JJ'), ('family', 'NN'), ('good', 'JJ'), ('cool', 'NN'), ('water', 'NN'), ('consumption', 'NN'), ('lts', 'NNS'), ('per', 'IN'), ('day', 'NN'), ('humidity', 'NN')]",['FEATURE:water'],0.9056,0.3358333333333333,0.6207166666666666,0.44359976053237915
3,I can't believe. It's super cooler,I can't believe. It's super cooler,en,believe super cooler,"['believe', 'super', 'cooler']","[('believe', 'VB'), ('super', 'NN'), ('cooler', 'NN')]",[],-0.4847,0.3333333333333333,-0.07568333333333335,0.4435301423072815
3,"Value for money
I am satisfied this cooler","Value for money
I am satisfied this cooler",en,value money satisfied cooler,"['value', 'money', 'satisfied', 'cooler']","[('value', 'NN'), ('money', 'NN'), ('satisfied', 'VBD'), ('cooler', 'NN')]",[],0.6369,0.5,0.56845,0.44371894001960754
