rating,text,text_en,lang
3.9,"Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.","Perfect summer companion!!


The product quality is good,it has nice looks accomplished by the amazingly powerful fan and the shutters, serving their purpose so well.It has smooth knobs,water level indicator,a swing system.",en
,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,It's my honest review after using this cooler for one year. I live in the top floor of a building at Rangia in Assam. Room size is 14 by 13 feet. In a hot night of May or June I use 3 litres of cool fridge water and some ice cubes with normal water and towards the late night I need to take a blanket or to switch off it. Proper ventilation should be maintained. It consumes low electricity and also inverter friendly. Can go for it without any hesitation.,en
,I'm satisfied.,I'm satisfied.,da
,"Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review","Received in a proper condition.... build quality is not so great... working fine as of now , don't know how it will work in summer ....will use it for some more time and edit my review",en
,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,Very nice product firstly I hesitate to buy it bcz most of the coolers will have water leakage problem from anyone side of its pads we have experienced it before buying this one but honestly I am writing this review after the usage of 10days there is no any problem yet now and most of the coolers makes sound but it has less one when compared to other brands don't get hesitate just go for it..,en
,"Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good","Cooler is awesome airflow amazing, power consumption is also low inverter can take up the load easily, but sometimes the water leaks from the side but not too much, so overall it is good",en
,"Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome","Wow,, Super excited for this product,,, thank you hindware ❤️❤️👍👍👍👍👌👌👌👌👌💐💐💐💐💐💐 awesome",en
,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,Super cooler for small family. Very good cool. Water consumption is at 35-40 lts per day when humidity is 30%.,en
,I can't believe. It's super cooler,I can't believe. It's super cooler,en
,"Value for money
I am satisfied this cooler","Value for money
I am satisfied this cooler",en
